,Company,Title,Description,Location,Salary
830,Suncorp Group,Actuarial Analyst,"
            Strong analytical skills with the ability to analyse data, identify key issues, develop solutions and drive data-based decisions. Max Term Full Time....",Sydney NSW,
831,Deloitte,Quantitative Financial Modelling Senior Analyst,"
            Professional experience working with advanced analytics and data visualisation techniques, ideally within Financial Services....",Melbourne VIC,
832,Woolworths Supermarkets,Category Ranging Analyst,"
            Category Ranging Analyst | A Fresh New Direction. Derive actionable insights based on qualitative and quantitative data....",New South Wales,
833,Big W,Pricing Analyst | BIG W,"
            Simililar experience in a commercial analyst or pricing analyst role. Run appropriate deep-dive data analysis to support decisions. What we're like....",New South Wales,
834,konnectit Solutions,Test Analyst - Superannuation,"
            In Superannuation Industry for *Test Analysts*. In Superannuation Industry for *Senior Test Analysts*. Facilitation of business process re-engineering, testing...",Sydney NSW,"<span class=""no-wrap"">
                $80,000 - $90,000 a year</span>"
835,Rio Tinto,Principal Data Scientist,"
            The role is a great opportunity for a highly analytical leader to collaborate closely with data engineers, data analysts, project leads and end users, and play...",Perth WA,
836,Alexander Appointments,Data Analyst - Not-For-Profit Sector - ASAP start,"
            Strong data analyses, reporting and modelling background. Database Management – develop and maintain processes for data integrity and security....",Sydney NSW,
837,Optus,Tier 1 Network and Security Specialist,"
            The TO division provides support and delivery of ICT services to a wide range of external clients in the Australian market who may have infrastructure located...",Sydney NSW,
838,Boral Industries,Hyperion Planning Analyst,"
            Experience with Oracle Data Integrator (ODI) preferred. Self-driven, team focused coding professional with significant Hyperion Planning experience required to...",Sydney NSW,
839,Department of Agriculture & Water Resources,Analyst Investigator,"
            Experience in the use of HP Records Manager for case management and data extraction purposes (desirable). The APS Level 6 Analyst Investigator works within a...",Canberra ACT,"<span class=""no-wrap"">
                $79,931 - $90,965 a year</span>"
840,Ignite,Business Analyst,"
                            Junior-Mid level Business Analyst. If you are a junior to mid-level Business Analyst, please APPLY NOW. This role would be ideal for Business Analysts with 2-5...",Sydney NSW,"<span class=""no-wrap"">
                $600 - $700 a day</span>"
841,Ignite,Reporting/Planning Data Analyst,"
                            Join a large telco as a Business / Reporting Data Analyst on a contract basis working closely with senior business unit representatives, other analysts and...",Melbourne VIC,"<span class=""no-wrap"">
                $450 - $550 a day</span>"
842,Ignite,Data Analyst,"
                            Ability to gather and interpret relevant data and information. Create and maintain test data required to exercise test cases....",Canberra ACT,"<span class=""no-wrap"">
                $80,000 - $90,000 a year</span>"
843,ignite,Technical Business Analyst - Reports Development Focus,"
                            Developing and managing database scripts to convert and fix data within operational database. As a leading technical resource, you will play a critical role in...",Brisbane QLD,"<span class=""no-wrap"">
                $70 - $75 an hour</span>"
844,Reckitt Benckiser Group,Shopper Insights & Planning Analyst,"
            This role is responsible for mining the wealth of data RB has available. With the Customer team to ensure data is used in an effective way to drive....",Sydney NSW,
845,Equifax,Senior Database Analyst,"
Data steward tasks including data quality checking and ensuring all parties are accountable for their part in the data sets....",Sydney NSW,
846,nbn™,Privacy Engagement and Insights Analyst,"
            You will be a champion for process efficiency and use data to identify ways to continuously improve the capability of the team....",Sydney NSW,
847,Morgan McKinley,Senior Data Scientist,"
            Role Senior Data Scientist. This organisation has one of the largest data sets currently in Australia and is focused from the top down on a data centric...",Sydney Central Business District NSW,"<span class=""no-wrap"">
                $160,000 - $180,000 a year</span>"
848,Bullhorn,Data Engineer,"
            Analyzing foreign data sets. Performing ad hoc data updates. As a Data Engineer, a typical day might include:....",Sydney NSW,
849,FourQuarters,Data Scientist,"
            As a Data Scientist, you will be responsible for:. Identifying and cleansing data, and drawing out actionable insights....",Melbourne VIC,"<span class=""no-wrap"">
                $150,000 a year</span>"
850,Robert Walters,Multiple Graduate Data Analyst positions,"
            To be the successful Data Analyst will need to demonstrate the following knowledge, skills and experiences:. This is a fantastic entry level position that will...",Sydney Central Business District NSW,
851,Charterhouse-AU,Business Intelligence / BA | Entertainment | ASX Listed | $1...,"
Data Center Physical Environment Management and Operations. Experience working as a Business Intelligence / Business Analyst....",New South Wales,
852,BAE Systems,Asset Performance Analyst (Log Eng),"
            Critically assessing Operational data, trends and changes for finance impacts. The ability to use and apply theoretical knowledge and historical data to current...",Garden Island NSW,
853,Australian Securities Exchange (ASX),Equity Post Trade Analyst,"
            Relevant toolset to facilitate data analytics.  Demonstrated strong technical skills in data analysis and presentation....",Sydney NSW,
854,Ignite,Business Analyst,"
                            Junior-Mid level Business Analyst. If you are a junior to mid-level Business Analyst, please APPLY NOW. This role would be ideal for Business Analysts with 2-5...",Sydney NSW,"<span class=""no-wrap"">
                $600 - $700 a day</span>"
855,Ignite,Reporting/Planning Data Analyst,"
                            Join a large telco as a Business / Reporting Data Analyst on a contract basis working closely with senior business unit representatives, other analysts and...",Melbourne VIC,"<span class=""no-wrap"">
                $450 - $550 a day</span>"
856,Ignite,Data Analyst,"
                            Ability to gather and interpret relevant data and information. Create and maintain test data required to exercise test cases....",Canberra ACT,"<span class=""no-wrap"">
                $80,000 - $90,000 a year</span>"
857,ignite,Reporting Analyst -Parramatta-12 month Contract,"
                            Experience with Data / Process Analysis. I am looking for a Reporting Analayst to join a Large Telco Organisation in Parramatta on a 12 month + daily rate...",Sydney NSW,"<span class=""no-wrap"">
                $50 - $55 an hour</span>"
858,Attra,Test Analyst - API Testing,"
            Responsibilities:  * Assist with Automation and Manual Testing * Security Testing * Integration Testing * Responsible for writing the Test Plan, Test...",Melbourne VIC,
859,FIS,Software Test Analyst,"
            Software Test Analyst. Develop, document and maintain functional test cases and other test artefacts like the test data, data validation, harness scripts and...",Melbourne VIC,
860,AESOP Corporate,Systems Analyst,"
            These projects aim to provide business analytics and technical solutions designed to integrate key systems, improve processes and automate data exchange....",Melbourne VIC,
861,Metro Trains Melbourne,Rail Operating Systems Analyst,"
            Maintain and develop Excel Macros to alter or calculate extracted data from our key planning systems. Are you interested in joining Melbourne’s Suburban...",Melbourne VIC,
862,Marshall McAdam,Data Analyst - Tableau,"
            Reporting to the BI & Analytics Manager, the Data Analyst will:. Data gathering, analysis and documentation experience....",Melbourne VIC,"<span class=""no-wrap"">
                $100,000 a year</span>"
863,Citi,Research Associate - Consumer,"
            In this role, you will work closely with the Senior Analyst with day to day responsibility for managing data, client interaction and contributing to research...",Sydney NSW,
864,Experis,Data Analyst,"
            State Government client is seeking an experienced Data Analyst / Programmer with a sound background in Microsoft technologies to work within a Datawarehousing...",Adelaide City Centre SA,
865,Onset Group Pty Ltd,Data Scientist,"
            Commercial Data Science / Marketing Analytics Experience. Proven track record of delivering commercial value from data....",Sydney NSW,"<span class=""no-wrap"">
                $120,000 - $140,000 a year</span>"
866,Opus Recruitment Solutions,DATA SCIENTIST,"
            You’ll be working with devs from data science, data engineering, backend, web and UX backgrounds to make Anna extremely smart....",Sydney NSW,"<span class=""no-wrap"">
                $100,000 - $130,000 a year</span>"
867,Salt Recruitment,"Data Scientist Sydney, Australia","
            Passionate about tech, AI, data. You will be working as part of one of the data science teams, with 4 other members excluding the Head of Data Science who you...",Sydney NSW,"<span class=""no-wrap"">
                $100,000 - $140,000 a year</span>"
868,Ignite,Business Analyst,"
                            Junior-Mid level Business Analyst. If you are a junior to mid-level Business Analyst, please APPLY NOW. This role would be ideal for Business Analysts with 2-5...",Sydney NSW,"<span class=""no-wrap"">
                $600 - $700 a day</span>"
869,Ignite,Reporting/Planning Data Analyst,"
                            Join a large telco as a Business / Reporting Data Analyst on a contract basis working closely with senior business unit representatives, other analysts and...",Melbourne VIC,"<span class=""no-wrap"">
                $450 - $550 a day</span>"
870,Ignite,Data Analyst,"
                            Ability to gather and interpret relevant data and information. Create and maintain test data required to exercise test cases....",Canberra ACT,"<span class=""no-wrap"">
                $80,000 - $90,000 a year</span>"
871,Sage,Sales Operations Analyst,"
                            Accurate data entry and database management skills. Your role as a Sales Operations Analyst will be responsible for the completion of administrative duties post...",Sydney NSW,
872,Tradelink,Pricing Analyst,"
            Pricing Analyst – Brisbane North - 12 Month Fixed term. To do this successfully you must work cooperatively with key stakeholders such as the Category Team,...",Banyo QLD,
873,ResMed,Software Test Analyst,"
            Software Test Analyst / Validation Engineer. We own the testing activities on our Data Management Platforms and provide testing strategy on both back-end and...",Sydney NSW,
874,Queensland Rail,Manager Analytics and Reporting,"
            Your role will be responsible for all workforce/people data governance including workforce data stewardship, analytics, reporting, data analysis,...",Brisbane QLD,
875,Aulakh Roadways Pty Ltd T/A SR Best Services,System Analyst,"
            Overseeing implementation of a new system including data migration; As a systems analyst, you'll work on an organisation's particular IT system but also with a...",Mittagong NSW,"<span class=""no-wrap"">
                $50,000 - $60,000 a year</span>"
876,SMC Executive,BA - Data & Reporting - Investment Markets,"
Data analytics and with markets data systems such as Factset; The BA – Data & Reporting sits within a team that develops reporting capabilities, in conjunction...",Melbourne VIC,
877,ITL Australia,Consultant,"
            Work with Business Analyst, SME for process identification and feasibility. Work with vendors to provide data points on effort estimation for proposal...",Melbourne VIC,
878,Auswide Bank,Business Analyst,"
            Business Analyst (Secondment/Maternity Contract) - Bundaberg. Consideration of data affecting investment programs....",Bundaberg QLD,
879,Jurlique,Application Support Analyst,"
            The Application Support Analyst will be responsible to:. The Application Support Analyst is responsible to carry out operational and routine activities to...",Mount Barker SA,
880,Woolworths Limited,General Merchandise Analyst,"
            We are looking for multiple General Merchandise Analysts to join our growing team! Proven experience or keen interest and ability in data analysis that drives...",New South Wales,
881,Boral Industries,Sales Business Analyst (North Ryde),"
            Support Sales Managers by ensuring timely reports and data at customer and product level. Based in North Ryde, we have an opportunity for a Sales Analyst to...",Sydney NSW,
882,Ignite,Business Analyst,"
                            Junior-Mid level Business Analyst. If you are a junior to mid-level Business Analyst, please APPLY NOW. This role would be ideal for Business Analysts with 2-5...",Sydney NSW,"<span class=""no-wrap"">
                $600 - $700 a day</span>"
883,Ignite,Reporting/Planning Data Analyst,"
                            Join a large telco as a Business / Reporting Data Analyst on a contract basis working closely with senior business unit representatives, other analysts and...",Melbourne VIC,"<span class=""no-wrap"">
                $450 - $550 a day</span>"
884,Ignite,Data Analyst,"
                            Ability to gather and interpret relevant data and information. Create and maintain test data required to exercise test cases....",Canberra ACT,"<span class=""no-wrap"">
                $80,000 - $90,000 a year</span>"
885,Ignite,Integration Analyst,"
                            Ability to gather and interpret relevant data and information. One of our client in Canberra is now hiring for Integration Analysts for a permanent role....",Canberra ACT,
886,FourQuarters,Investment Data Analyst,"
            Coach and develop fellow data analysts to contribute to an effective and efficient data analysis, monitoring, and reporting infrastructure....",Melbourne VIC,"<span class=""no-wrap"">
                $100,000 - $120,000 a year</span>"
887,Willis Towers Watson,Team Assistant,"
            Maintenance of client relationship management (“CRM”) data and client lists (contacts, distribution lists) as well as other databases;...",Sydney NSW,
888,Zurich Financial Services Australia,Planning and Performance Analyst,"
            Planning and Performance Analyst - 170008K3. We are looking for a switched on, articulate and hard working Planning & Performance Analyst to join our Strategic...",Sydney NSW,
889,Zurich Insurance Group,Planning and Performance Analyst,"
            We are looking for a switched on, articulate and hard working Planning & Performance Analyst to join our Strategic Finance and Planning and Performance...",Sydney NSW,
890,Aurec Human Capital Group,Business Intelligence Analyst (SAS & SSRS),"
            This is a ""hands on"" role which will consist of a mixture of Data Warehouse deliverables, reporting and in-depth analysis....",Sydney NSW,
891,PCA People,Analyst,"
            Strong data analysis skills. Ensure all data is maintained and recorded accurately. Are you experienced in Inventory management, Demand Planning and Forecasting...",Canberra ACT,
892,DFP Recruitment Services,Analyst,"
            Strong data analysis skills. Ensure all data is maintained and recorded accurately. Are you experienced in Inventory management, Demand Planning and Forecasting...",Canberra ACT,
893,Aurec Human Capital Group,Business Intelligence Reporting Officer,"
            Coordinate programme requirements for reporting, system design and maintenance and support the programme data steward in relation to data integrity and fitness...",Canberra ACT,
894,AFTERPAY TOUCH GROUP,Technical Business Analyst - Decision Engine,"
            Business rules definition · Solution requirements specification · Data mapping and data dictionary · Integration and interface analysis · Superb documentation...",Melbourne VIC,
895,Programmed Professionals,Reporting Analyst,"
            Exposure to governance, reconciliation and forecasting commercial and financial data is a plus. National telecommunications company seeks a Financial/Commercial...",Sydney NSW,"<span class=""no-wrap"">
                $340 a day</span>"
896,Ignite,Business Analyst,"
                            Junior-Mid level Business Analyst. If you are a junior to mid-level Business Analyst, please APPLY NOW. This role would be ideal for Business Analysts with 2-5...",Sydney NSW,"<span class=""no-wrap"">
                $600 - $700 a day</span>"
897,Ignite,Reporting/Planning Data Analyst,"
                            Join a large telco as a Business / Reporting Data Analyst on a contract basis working closely with senior business unit representatives, other analysts and...",Melbourne VIC,"<span class=""no-wrap"">
                $450 - $550 a day</span>"
898,Ignite,Data Analyst,"
                            Ability to gather and interpret relevant data and information. Create and maintain test data required to exercise test cases....",Canberra ACT,"<span class=""no-wrap"">
                $80,000 - $90,000 a year</span>"
899,Black Cat Data,Data Scientist Intern,"
                            Passionate about data science, big data and AI. Data Science technology. Managing the backend systems and importing new data....",Sydney NSW,
900,Terra Firma,Business Analysts - Financial Services,"
            You have strong Business Process Mapping/Re-engineering skills and are able to interpret this data to elicit the best outcome for clients....",Melbourne VIC,
901,Deimos Technology Pty Ltd,Developer Programmer,"
            Confirms project requirements by reviewing program objective, input data, and output requirements with analyst, supervisor, and client....",Mandurah WA,"<span class=""no-wrap"">
                $60,000 - $70,000 a year</span>"
902,Optus,Technical Analyst - Cloud & Storage,"
            Demonstrated knowledge of VMWare ESX, Windows server or workstation operating system, Unix (Solaris, HP-UX) and/or Linux (RedHat, Ubuntu) operating system, Data...",Sydney NSW,
903,CCInternational Recruitment,Research Analyst | Quantitative and Qualitative role | Media...,"
Analyst and report on primary and secondary research; A demonstrated ability to think analytically, extract, analyse and simplify data;...",Sydney NSW,"<span class=""no-wrap"">
                $86,000 a year</span>"
904,Murdoch Childrens Research Institute,Clinical Analyst (Medical Scientist),"
            Clinical Analyst (Medical Scientist). The position covers all aspects of the testing procedure, from specimen reception and sample processing to variant data...",Parkville VIC,"<span class=""no-wrap"">
                $64,199 - $74,246 a year</span>"
905,Frontier Software,Test Analyst,"
            Exposure to establishing/validating test data in SQL and Oracle databases. Setup of test data in various formats, including SQL or Oracle, as required....",Melbourne VIC,
906,Woolworths Limited,Sales & Trade Analyst,"
            Proven experience or keen interest and ability in data analysis that drives insights and recommendations. Using available data, provide and action insights...",New South Wales,
907,Virgin Australia,Resource Analyst - Network Operations,"
            Resource Analyst 12.17.pdf. Network Operations, Resource Planning, Data/ Analytics. We are looking for a bright, forward thinking and solutions focused analyst...",Queensland,
908,The Starlight Children's Foundation,Marketing Analyst,"
            Use data to track, analyse and report on the performance of communications activities. You'll love to connect the dots in data and think strategically to drive...",St Leonards NSW,
909,COTTON ON,PLANNING ANALYST (COUNTRY),"
            We’re looking for a skilled planning analyst who is passionate about data analysis to help shape and deliver global fashion trends....",Victoria,
910,Ignite,Business Analyst,"
                            Junior-Mid level Business Analyst. If you are a junior to mid-level Business Analyst, please APPLY NOW. This role would be ideal for Business Analysts with 2-5...",Sydney NSW,"<span class=""no-wrap"">
                $600 - $700 a day</span>"
911,Ignite,Reporting/Planning Data Analyst,"
                            Join a large telco as a Business / Reporting Data Analyst on a contract basis working closely with senior business unit representatives, other analysts and...",Melbourne VIC,"<span class=""no-wrap"">
                $450 - $550 a day</span>"
912,Ignite,Data Analyst,"
                            Ability to gather and interpret relevant data and information. Create and maintain test data required to exercise test cases....",Canberra ACT,"<span class=""no-wrap"">
                $80,000 - $90,000 a year</span>"
913,Michael Page,IT Support Analyst,"
                            High degree of analytical capability to critically evaluate data. The IT Support Analyst is responsible for providing IT support to company's HQ, mobile and...",Melbourne City Centre VIC,
914,COTTON ON,PLANNING ANALYST (MENS CATEGORY),"
            Transcribing data into Merchandise Systems. We’re looking for a skilled planning analyst who is passionate about data analysis to help shape and deliver global...",Victoria,
915,Superior People Recruitment,"Data analyst, client support, Ref #94","
Data analyst, client support, Ref #94. Melbourne City Centre, VIC Salary:....",Melbourne City Centre VIC,"<span class=""no-wrap"">
                $55,000 - $60,000 a year</span>"
916,Professional Recruitment Australia,Data Analyst | Data Visualisation | Power BI & Tableau!,"
            Working as a data analyst or business analyst. Technical background working with data models, database design, data mining and segmentation techniques....",Brisbane QLD,"<span class=""no-wrap"">
                $50,000 - $70,000 a year</span>"
917,PRA,Data Analyst | Data Visualisation | Power BI & Tableau!,"
            Working as a data analyst or business analyst. Technical background working with data models, database design, data mining and segmentation techniques....",Brisbane QLD,"<span class=""no-wrap"">
                $50,000 - $70,000 a year</span>"
918,Nine Entertainment,Test Analyst,"
            In addition we have a long-running strategic relationship with Microsoft, selling their suite of advertising products while leveraging their world-leading...",Sydney NSW,
919,AMP Limited,Technical Support Analyst (Platforms),"
            Providing input for proposed fixes, testing functions and project managing remedial work to maintain data integrity....",Melbourne VIC,
920,Prospecta Software,"IT Business Analyst - North Sydney, Australia","
            Experience working in Big Data analysis and data governance will be an advantage. We are currently hiring a dynamic Business Analyst (IT) who can provide...",North Sydney NSW,
921,4 WAYS PTY LTD,Operations Analyst,"
            Is currently looking for a permanent full time Operation Analyst for an immediate start. Role involves analysing the business' operational data and providing...",Virginia SA,
922,Datarati,Junior Tech Architect – Quality Assurance,"
            Must be result and detail oriented and enjoy digging into data to find ways to optimize it. Do you have recent hands-on experience with marketing automation...",Sydney NSW,
923,"Medallia, Inc.",Professional Services Analyst/Sr Analyst,"
            Provide client support when analyzing large sets of data. As an Analyst you will be assigned to multiple projects and accounts depending on our need and your...",Sydney NSW,
924,Ignite,Business Analyst,"
                            Junior-Mid level Business Analyst. If you are a junior to mid-level Business Analyst, please APPLY NOW. This role would be ideal for Business Analysts with 2-5...",Sydney NSW,"<span class=""no-wrap"">
                $600 - $700 a day</span>"
925,Ignite,Reporting/Planning Data Analyst,"
                            Join a large telco as a Business / Reporting Data Analyst on a contract basis working closely with senior business unit representatives, other analysts and...",Melbourne VIC,"<span class=""no-wrap"">
                $450 - $550 a day</span>"
926,Ignite,Data Analyst,"
                            Ability to gather and interpret relevant data and information. Create and maintain test data required to exercise test cases....",Canberra ACT,"<span class=""no-wrap"">
                $80,000 - $90,000 a year</span>"
927,QBE Insurance,Senior Data Scientist,"
                            Senior Data Scientist. Leading analytical conversation with business centred on ""The art of the possible using data science"", exploring data from a modelling...",Sydney NSW,
928,Spencer Ogden,Senior Data Analyst,"
Data Interpretation & Story Telling. Our client is currently recruiting for a Senior Data Analyst/Client Consultant to engage with their customers brand...",Sydney Central Business District NSW,"<span class=""no-wrap"">
                $100,000 - $120,000 a year</span>"
929,Myer,Allocator Opportunities,"
            Strong data accuracy skills and attention to detail will be critical to success in this role. If you're good with numbers and are excited by data and love...",Docklands VIC,
930,IBP,Bilingual Chinese Research and Business Analyst,"
            Research and Business Analyst (TV & Film Industry). 国际管理咨询公司 IBP 现招聘实习生。公司项目包括影视、投资、慈善等领域。现即招中英双语人材从事电视行业翻译、分析以及商务接洽职位。帮助北美的电影电视公司进军中国市场。要求中英双语写作母语或近母语水平。....",Work at Home,
931,FourQuarters,Application Support Analyst | Immediate Start | Financial Se...,"
            Manage data fixes and produce ad hoc data extracts/reports. My top tier Financial Services client in Melbourne CBD are looking for an experienced application...",Melbourne VIC,"<span class=""no-wrap"">
                $80,000 - $90,000 a year</span>"
932,Clyde & Co,Conflicts & Compliance Assistant,"
            Researching, identifying and verifying new clients by using online data providers and any other online. The BAU Team consists of three Team Leaders, Conflicts...",Newcastle NSW,
933,"Marriott International, Inc",Technical Analyst,"
            Data de divulgação da vaga Dec 12, 2017 Nº do Cargo 17002OW5 Categoria de emprego Tecnologia de informação Marca Corporate Horário Período integral Tipo de...",Sydney NSW,
934,Equifax,Technical Analyst,"
            Liaise with developers and analyst to document existing data and application systems. The company organises, assimilates and analyses data on more than 820...",Sydney NSW,
935,DigitasLBi,Technical Analyst,"
            An eye for data visualization. Good knowledge of SQL and No-SQL data structures. Our global workforce of 6,000 includes industry-leading creatives in each...",Sydney NSW,
936,Talent International,Data Scientist,"
            Work with large amounts of data. Engineers, product managers, analysts, business, and marketing functions. Be innovative, be creative, use every bit of that key...",Victoria,"<span class=""no-wrap"">
                $110,000 - $120,000 a year</span>"
937,Creative Field Marketing Pty Ltd,Sales and Field Analyst - 12 month contract,"
            The role will effectively help manage, collect and interpret large volumes of data from multiple sources (in house reporting platform, customer sales data etc)...",Sydney NSW,
938,Ignite,Business Analyst,"
                            Junior-Mid level Business Analyst. If you are a junior to mid-level Business Analyst, please APPLY NOW. This role would be ideal for Business Analysts with 2-5...",Sydney NSW,"<span class=""no-wrap"">
                $600 - $700 a day</span>"
939,Ignite,Reporting/Planning Data Analyst,"
                            Join a large telco as a Business / Reporting Data Analyst on a contract basis working closely with senior business unit representatives, other analysts and...",Melbourne VIC,"<span class=""no-wrap"">
                $450 - $550 a day</span>"
940,Ignite,Data Analyst,"
                            Ability to gather and interpret relevant data and information. Create and maintain test data required to exercise test cases....",Canberra ACT,"<span class=""no-wrap"">
                $80,000 - $90,000 a year</span>"
941,BIG WEDNESDAY DIGITAL,Data Analyst - Global eCommerce - Bangkok,"
                            0-5 years in Data Analyst position or otherwise in projects involving big data. Our client is seeking talented data analysts to join multiple team's, there are...",Canberra ACT,
942,Citak,Data Scientist,"
            Experience in relational databases, data modelling and Data Profiling. You will be working closely with business data analysts, subject matter experts and the...",Melbourne VIC,
943,Gallagher,Technical Analyst – Document Composition,"
            Understand the components assigned to a document, including layouts, style sets, shared content, data model and channels....",East Melbourne VIC,
944,Link Group,Technical Analyst,"
            6+ Years of demonstrable high competency as Technical Analyst or equivalent role. Provide specialist expertise on a specification design criteria to developers...",Melbourne VIC,
945,CA Technologies,Sr Tax Analyst,"
            Located in our North Ryde office, this position is responsible for engaging with the broader tax team at CA Technologies, various functional groups such as...",North Ryde NSW,
946,Publicis Media,Analytics & Insights Director,"
Data warehousing and visualisation:. Translating data analysis into meaningful recommendations. Work with Analysts and 3rd party partners to deliver the right...",Sydney NSW,
947,3X Partners,Junior/Mid Level Business Analyst | CBD | Perm | World Class...,"
            If you're a Business/Systems Analyst and you're considering joining another company for similar sounding opportunities, you seriously need to stop now and speak...",Sydney NSW,"<span class=""no-wrap"">
                $100,000 a year</span>"
948,Okta,"Security Analyst, Detection and Response","
            You love working with data to generate insight. You have at least 3 years of experience as a Security Analyst in a 24x7 SOC environment responding to a wide...",Sydney NSW,
949,"Marriott International, Inc",Systems Analyst,"
Data di presentazione Nov 6, 2017. Categoria la Posizione Reparto informatico....",Port Douglas QLD,
950,Macquarie Group Limited,Business Analyst - Sydney - Wealth Team,"
            We are looking for a Business Analyst to join our Wealth Agile Release Train. Knowledge of Database querying (SQL) and Excel to drive analysis of data...",Sydney NSW,
951,Nielsen,Content Measurement Analyst,"
            Content Measurement Analyst - 1326. Analysing data in depth to explain the cause of trends within the data. Multiple 3 rd Party data feeds....",Macquarie Park NSW,
952,Ignite,Business Analyst,"
                            Junior-Mid level Business Analyst. If you are a junior to mid-level Business Analyst, please APPLY NOW. This role would be ideal for Business Analysts with 2-5...",Sydney NSW,"<span class=""no-wrap"">
                $600 - $700 a day</span>"
953,Ignite,Reporting/Planning Data Analyst,"
                            Join a large telco as a Business / Reporting Data Analyst on a contract basis working closely with senior business unit representatives, other analysts and...",Melbourne VIC,"<span class=""no-wrap"">
                $450 - $550 a day</span>"
954,Ignite,Data Analyst,"
                            Ability to gather and interpret relevant data and information. Create and maintain test data required to exercise test cases....",Canberra ACT,"<span class=""no-wrap"">
                $80,000 - $90,000 a year</span>"
955,Michael Page,Financial Reporting & Business Analyst - CBD-based Infrastru...,"
                            They are looking for a skilled Analyst to work closely with the Management Team to provide business analysis/management reporting capabilities as well as...",Sydney Central Business District NSW,
956,Macquarie Group Limited,Business Analyst - Wealth & Originations,"
            Knowledge of Database querying (SQL) and Excel to drive analysis of data capabilities. We are now looking for a Business Analyst to join one of our Wealth Agile...",Sydney NSW,
957,Aurec,Data Analysts,"
            Significant experience in data exchange technologies and ETL processes using technologies such as SAP Data Services....",Sydney NSW,
958,Aurec Human Capital Group,Data Analysts,"
            My client is seeking several Data Analysts to assist with the delivery of multiple government initiatives for 2018!...",Sydney NSW,
959,Renewable Energy Systems Ltd.,Technical Analyst,"
            Manage project cadastral data working with the project properly manager. The Technical Analyst will provide expert technical expertise to Project Managers,...",Australia,
960,Infrastructure & Services,Senior Customer Analyst,"
            Senior Customer Analyst - 00005UWU. Substantial experience within data analyses and command of Excel is essential....",Sydney NSW,"<span class=""no-wrap"">
                $96,542 - $108,127 a year</span>"
961,Polyglot Group,Junior Pricing Analyst,"
            Based in Sydney’s CBD, as our client’s marketing team is growing, they are looking for a full-time Pricing Analyst to join them!...",Sydney NSW,
962,Huxley,Junior Quant Analyst,"
            2-3 years Quantitative/ Data Science Experience. This Junior Quantitative Analyst opportunity is with a Sydney based investment management firm who focuses on...",Sydney NSW,
963,CBRE Asia Pacific,Finance and Treasury Analyst,"
Data integrity - act as APAC Finance “gate-keeper” for Chartfield request changes in Peoplesoft and co-ordinate setup of new Chartfields with APAC Governance....",Brisbane QLD,
964,Switch Media,Technical Test Analyst,"
            Technical Test Analyst - Automation - IPTV/ Broadcast Media. We are looking for experienced Automation Test Analysts to join our talented team....",Sydney NSW,
965,Page Personnel,Data Entry,"
Data based updating and analysing; The firm is currently entering its busiest time of year and requires a temporary data analyst to join the office support team...",Sydney Central Business District NSW,
966,Ignite,Business Analyst,"
                            Junior-Mid level Business Analyst. If you are a junior to mid-level Business Analyst, please APPLY NOW. This role would be ideal for Business Analysts with 2-5...",Sydney NSW,"<span class=""no-wrap"">
                $600 - $700 a day</span>"
967,Ignite,Reporting/Planning Data Analyst,"
                            Join a large telco as a Business / Reporting Data Analyst on a contract basis working closely with senior business unit representatives, other analysts and...",Melbourne VIC,"<span class=""no-wrap"">
                $450 - $550 a day</span>"
968,Ignite,Data Analyst,"
                            Ability to gather and interpret relevant data and information. Create and maintain test data required to exercise test cases....",Canberra ACT,"<span class=""no-wrap"">
                $80,000 - $90,000 a year</span>"
969,Cubix Global,Business Analyst,"
                            3-5 years as a business analyst working on business improvement initiatives. You will support the Project Manager –Business Improvement with financial data,...",Perth WA,
970,Charter Bridge Consulting,JDE Finance Analyst,"
            We require an experienced JDE Finance Analyst with at least 4 years JD Edwards Finance systems experience, a strong Accounting / Systems Accountant background,...",Sydney NSW,
971,Woolworths Supermarkets,Marketing Return on Investment Analyst,"
            Lead the synthesis of multiple data sources –transaction data, behavioural data, demographics, lifestyle segments, etc. – to analyze and address insight...",New South Wales,
972,Youth & Programmes Group,Principal Data Analyst | Data Infrastructure Manager - Canbe...,"
            The Future of Work Taskforce seeks to fill two ongoing/non-ongoing positions (a) Principal Data Analyst and (b) Data Infrastructure Manager....",Canberra ACT,"<span class=""no-wrap"">
                $103,615 - $114,516 a year</span>"
973,Telstra,Finance Analyst - Mobiles,"
            As a leading Finance Analyst, you will provide insight on financial data and models that influences stakeholders and promotes effective product outcomes....",Melbourne City Centre VIC,
974,CSL Behring,Laboratory Systems Analyst,"
            This will involve analysing and validating laboratory data when business processes or systems are changed, also maintaining the systems data integrity and...",Broadmeadows VIC,
975,Axsesstoday Limited,Credit Analyst,"
            We are looking for a talented Credit Analyst to determine our customers’ creditworthiness. The successful candidate will analyze financial data to assess the...",Melbourne VIC,
976,The Network IT,Desktop Roll-Out Technicians,"
            Any knowledge with telephony and data services. An excellent role for a budding desktop analyst, this will give you some commercial experience....",Melbourne VIC,
977,"Orygen, The National Centre of Excellence in Youth...",Biostatistician,"
            Demonstrated proficiency in data entry, data management, and data analysis. The Biostatistician/Statistician/Applied Data Analyst will be responsible for the...",Parkville VIC,
978,ALSTOM,Industrial Functions Analyst,"
            Business Analyst - Industrial Functions. Alstom currently has an exciting opportunity for a Business Analyst to....",Sydney NSW,
