,Company,Title,Description,Location,Salary
128,"<span class=""company"">
    Stott Hoare</span>",Solutions Architect/Engineer – Data Centre Infrastructure,"
            Solutions Architect Engineer:. > Nutanix NSES Systems Engineer. Solutions Architect/Engineer – Data Centre Infrastructure*....",Perth WA,
129,"<span class=""company"">
<a href=""/cmp/Tableau"" onmousedown=""this.href = appendParamsOnce(this.href, 'from=SERP&amp;campaignid=serp-linkcompanyname&amp;fromjk=67982d2c6b2ba77e&amp;jcid=f334737e3fd6818e')"" rel=""noopener"" target=""_blank"">
    Tableau</a></span>",Principal Technical Support Engineer,"
            Set up test environments to mirror customer set‐up, write test scripts, and perform tests using customer's data or representative data....",Sydney NSW,
130,"<span class=""company"">
<a class=""turnstileLink"" data-tn-element=""companyName"" href=""/cmp/Accenture"" onmousedown=""this.href = appendParamsOnce(this.href, 'from=SERP&amp;campaignid=serp-linkcompanyname&amp;fromjk=c832e75c5d42c580&amp;jcid=a4e4e2eaf26690c9')"" rel=""noopener"" target=""_blank"">
    Accenture</a></span>",Accenture Big Data Engineer Consultant/Manager,"
                            Accenture Big Data Engineer Consultant/Manager, Australia. O Enterprise Data Warehouse / Data Lake architectures....",Sydney NSW,
131,"<span class=""company"">
<a class=""turnstileLink"" data-tn-element=""companyName"" href=""/cmp/Australian-Antarctic-Division"" onmousedown=""this.href = appendParamsOnce(this.href, 'from=SERP&amp;campaignid=serp-linkcompanyname&amp;fromjk=767111fd58e3e641&amp;jcid=634a64937ed89159')"" rel=""noopener"" target=""_blank"">
    Australian Antarctic Division</a></span>",Electronics Engineer,"
                            As the Electronics Engineer you will support the AAD’s scientific program by installing, commissioning, maintaining, calibrating and modifying electronic...",Australia,"<span class=""no-wrap"">
                $85,907 a year</span>"
132,"<span class=""company"">
<a href=""/cmp/Commvault"" onmousedown=""this.href = appendParamsOnce(this.href, 'from=SERP&amp;campaignid=serp-linkcompanyname&amp;fromjk=3d61afc0fee28bd8&amp;jcid=e41a4055a18ec362')"" rel=""noopener"" target=""_blank"">
    Commvault</a></span>","Customer Support Engineer, Tier 1 (Media Management)","
            Recognized as a leader in the Gartner Magic Quadrant for Data Center Backup and Recovery Software, our industry's definitive independent ranking....",Sydney NSW,
133,"<span class=""company"">
    MTS Global Pte. Ltd.</span>",Network Engineer-Unified Communications (UC),"
            Familiar with Data and VOIP network protocols which includes TCP/IP, MPLS, Virtual LAN's, VLAN trunking, QoS, SIP....",Canberra ACT,
134,"<span class=""company"">
    Onset Group Pty Ltd</span>",Software Engineer - Scala,"
            This is a company driven by data so past exposure to working with big data technologies is a plus. Commercial application of big data tech ( Apache Spark )....",Sydney NSW,"<span class=""no-wrap"">
                $90,000 - $120,000 a year</span>"
135,"<span class=""company"">
<a href=""/cmp/Evolution-Recruitment-Solutions"" onmousedown=""this.href = appendParamsOnce(this.href, 'from=SERP&amp;campaignid=serp-linkcompanyname&amp;fromjk=6f5a7e0a29be4d11&amp;jcid=537b951deabddb67')"" rel=""noopener"" target=""_blank"">
    Evolution Recruitment Solutions</a></span>",Principle Software Engineer,"
            You'll get to use your skills in designing and creating REST based web services and API's alongside a Back End Engineers and Data Scientists to create future...",Sydney NSW,"<span class=""no-wrap"">
                $150,000 a year</span>"
136,"<span class=""company"">
<a href=""/cmp/Google"" onmousedown=""this.href = appendParamsOnce(this.href, 'from=SERP&amp;campaignid=serp-linkcompanyname&amp;fromjk=b3b4a50122299c54&amp;jcid=a5b4499d9e91a5c6')"" rel=""noopener"" target=""_blank"">
    Google</a></span>","Technical Program Manager, Corporate Engineering","
            We're proud to be our engineers' engineers and love voiding warranties by taking things apart so we can rebuild them....",Sydney NSW,
137,"<span class=""company"">
<a href=""/cmp/Alfresco"" onmousedown=""this.href = appendParamsOnce(this.href, 'from=SERP&amp;campaignid=serp-linkcompanyname&amp;fromjk=ce672945943f243b&amp;jcid=c43ebc55028b6b63')"" rel=""noopener"" target=""_blank"">
    Alfresco</a></span>",Pre-Sales Solution Architect/Engineer,"
            AWS Certified Big Data - Specialty. As a Solutions Architect with AWS expertise, you'll participate in the full range of pre-sales activities from lead...",Sydney NSW,
138,"<span class=""company"">
<a href=""/cmp/Conocophillips"" onmousedown=""this.href = appendParamsOnce(this.href, 'from=SERP&amp;campaignid=serp-linkcompanyname&amp;fromjk=3e92dcbc2c46b7f2&amp;jcid=b1022d646fa0c95b')"" rel=""noopener"" target=""_blank"">
    ConocoPhillips</a></span>",Senior Electrical Engineer,"
            Senior Electrical Engineer - 00QDM. Computer Based Power System Management and Electrical Supervisory Control and Data Acquisition (SCADA) Systems....",Perth WA,
139,"<span class=""company"">
    Culture Amp</span>",Lead Engineer - JVM,"
            The engineering team at Culture Amp is diverse and growing, from data scientists to machine learning engineers and many others, you will be part of the...",Melbourne VIC,
140,"<span class=""company"">
    GetSwift</span>",Lead QA Engineer,"
            Leads a small team of on-site quality engineers, providing technical mentorship as needed. The company values are driven by the unrelenting passion and emphasis...",Melbourne VIC,
141,"<span class=""company"">
<a class=""turnstileLink"" data-tn-element=""companyName"" href=""/cmp/Accenture"" onmousedown=""this.href = appendParamsOnce(this.href, 'from=SERP&amp;campaignid=serp-linkcompanyname&amp;fromjk=c832e75c5d42c580&amp;jcid=a4e4e2eaf26690c9')"" rel=""noopener"" target=""_blank"">
    Accenture</a></span>",Accenture Big Data Engineer Consultant/Manager,"
                            Accenture Big Data Engineer Consultant/Manager, Australia. O Enterprise Data Warehouse / Data Lake architectures....",Sydney NSW,
142,"<span class=""company"">
<a class=""turnstileLink"" data-tn-element=""companyName"" href=""/cmp/Australian-Antarctic-Division"" onmousedown=""this.href = appendParamsOnce(this.href, 'from=SERP&amp;campaignid=serp-linkcompanyname&amp;fromjk=767111fd58e3e641&amp;jcid=634a64937ed89159')"" rel=""noopener"" target=""_blank"">
    Australian Antarctic Division</a></span>",Electronics Engineer,"
                            As the Electronics Engineer you will support the AAD’s scientific program by installing, commissioning, maintaining, calibrating and modifying electronic...",Australia,"<span class=""no-wrap"">
                $85,907 a year</span>"
143,"<span class=""company"">
    Tyro</span>",Linux System Engineer,"
            Build and optimise Linux servers for our 24/7 production data centres. Work closely with the software engineers to deploy internally developed Java software...",Sydney NSW,
144,"<span class=""company"">
<a href=""/cmp/Nutanix"" onmousedown=""this.href = appendParamsOnce(this.href, 'from=SERP&amp;campaignid=serp-linkcompanyname&amp;fromjk=7e9508ce61c6ab45&amp;jcid=dd7de5cf522ca5fc')"" rel=""noopener"" target=""_blank"">
    Nutanix</a></span>",Senior Systems Engineer - Victoria,"
            The Senior Systems Engineer should also have the following:. Technical experience with virtualization technologies, data center consolidation, and/or server...",Melbourne VIC,
145,"<span class=""company"">
<a href=""/cmp/Intersystems-Corporation"" onmousedown=""this.href = appendParamsOnce(this.href, 'from=SERP&amp;campaignid=serp-linkcompanyname&amp;fromjk=888ab9be7e15f9d0&amp;jcid=6b4b2a01b2417a65')"" rel=""noopener"" target=""_blank"">
    InterSystems Corporation</a></span>",Quality Development Engineer,"
            Timely identifies and escalates environment issues, data gaps and appropriate administration. We are currently recruiting for a Quality Development Engineer to...",Sydney NSW,
146,"<span class=""company"">
<a href=""/cmp/Atlassian"" onmousedown=""this.href = appendParamsOnce(this.href, 'from=SERP&amp;campaignid=serp-linkcompanyname&amp;fromjk=037e4e5de1aad4f1&amp;jcid=e6d4ba9e2cfe7902')"" rel=""noopener"" target=""_blank"">
    Atlassian</a></span>",Lead Data Analyst,"
            The perfect fit is someone who can analyze data (using SQL, Hive, Hadoop etc.), ensure data integrity and statistical significance, and build models based on...",Sydney NSW,
147,"<span class=""company"">
    Professional Search Group</span>",Infrastructure and Data Centre Engineer,"
            Internal role within high profile organisation for an experienced Infrastructure and Data Centre Engineer to join them on a long term contract basis....",Perth WA,
148,"<span class=""company"">
<a href=""/cmp/Dimension-Data"" onmousedown=""this.href = appendParamsOnce(this.href, 'from=SERP&amp;campaignid=serp-linkcompanyname&amp;fromjk=77431f5867fcc4af&amp;jcid=75914e4a93ffbeca')"" rel=""noopener"" target=""_blank"">
    Dimension <b>Data</b></a></span>",Service Delivery Support Engineer (L3),"
            Diversity in Dimension Data. Join our growing global team and accelerate your career with Dimension Data. Dimension Data is an equal opportunity employer with a...",North Ryde NSW,
149,"<span class=""company"">
<a href=""/cmp/Smec"" onmousedown=""this.href = appendParamsOnce(this.href, 'from=SERP&amp;campaignid=serp-linkcompanyname&amp;fromjk=725f7a66882d0185&amp;jcid=812f38f99e60eeba')"" rel=""noopener"" target=""_blank"">
    SMEC</a></span>",Electrical Engineer - Water Infrastructure,"
            Specific roles the Electrical Engineer may be involved in include. Engineering design, detailing, documentation, proposal preparation, field investigation, data...",Melbourne VIC,
150,"<span class=""company"">
    Campaign Monitor</span>",Software Engineer - DevOps,"
            Distributed data storage systems like CEPHS or HDFS. Big data systems such a Elasticsearch, Cassandra or Hadoop....",Sydney NSW,
151,"<span class=""company"">
    Campaign Monitor</span>",DevOps/Full Stack Software Engineer,"
            Distributed data storage systems like CEPHS or HDFS. Big data systems such a Elasticsearch, Cassandra or Hadoop....",Sydney NSW,
152,"<span class=""company"">
<a class=""turnstileLink"" data-tn-element=""companyName"" href=""/cmp/Accenture"" onmousedown=""this.href = appendParamsOnce(this.href, 'from=SERP&amp;campaignid=serp-linkcompanyname&amp;fromjk=c832e75c5d42c580&amp;jcid=a4e4e2eaf26690c9')"" rel=""noopener"" target=""_blank"">
    Accenture</a></span>",Accenture Big Data Engineer Consultant/Manager,"
                            Accenture Big Data Engineer Consultant/Manager, Australia. O Enterprise Data Warehouse / Data Lake architectures....",Sydney NSW,
153,"<span class=""company"">
<a class=""turnstileLink"" data-tn-element=""companyName"" href=""/cmp/Australian-Antarctic-Division"" onmousedown=""this.href = appendParamsOnce(this.href, 'from=SERP&amp;campaignid=serp-linkcompanyname&amp;fromjk=767111fd58e3e641&amp;jcid=634a64937ed89159')"" rel=""noopener"" target=""_blank"">
    Australian Antarctic Division</a></span>",Electronics Engineer,"
                            As the Electronics Engineer you will support the AAD’s scientific program by installing, commissioning, maintaining, calibrating and modifying electronic...",Australia,"<span class=""no-wrap"">
                $85,907 a year</span>"
154,"<span class=""company"">
    ICTechnology</span>",Level 2 Helpdesk/Support Engineer,"
                            We are looking for an enthusiastic engineer to join our team. Ability to deal with high impact, high profile, incidents and deal with senior level technical...",Bankstown NSW,
155,"<span class=""company"">
<a class=""turnstileLink"" data-tn-element=""companyName"" href=""/cmp/Ignite"" onmousedown=""this.href = appendParamsOnce(this.href, 'from=SERP&amp;campaignid=serp-linkcompanyname&amp;fromjk=76bf4d67aaace538&amp;jcid=252acfc4c279f04f')"" rel=""noopener"" target=""_blank"">
    Ignite On Demand Talent Services</a></span>","Desktop Support Engineer -Maryborough, Queensland","
                            Transfer of user data and settings from old computer to new computer. We are looking for Engineers who like to be challenged, are proactive and can follow...",Maryborough QLD,
156,"<span class=""company"">
<a href=""/cmp/Ugl-Limited"" onmousedown=""this.href = appendParamsOnce(this.href, 'from=SERP&amp;campaignid=serp-linkcompanyname&amp;fromjk=616d0a2e2a4e8c69&amp;jcid=6a1c088ddbe94ecb')"" rel=""noopener"" target=""_blank"">
    UGL Limited</a></span>",Solar Integration Engineer,"
            Solar Integration Engineer. Responsible for quality of engineering plans, execution, documentation, and data....",Northern Beaches NSW,
157,"<span class=""company"">
    hipages</span>",Product Manager (Junior to Senior),"
            A data-driven approach to product management and being comfortable leading data scientists to analyse large data sets and extract trends and insights....",Sydney NSW,
158,"<span class=""company"">
    Rudds Consulting <b>Engineers</b></span>",SENIOR ELECTRICAL ENGINEER,"
            SENIOR ELECTRICAL ENGINEER in Canberra. Rudds Consulting Engineers is a dynamic, multi-disciplinary, building services consulting engineering firm based in...",Canberra ACT,
159,"<span class=""company"">
<a href=""/cmp/Acciona"" onmousedown=""this.href = appendParamsOnce(this.href, 'from=SERP&amp;campaignid=serp-linkcompanyname&amp;fromjk=39d3be144710385c&amp;jcid=b7d7292f6a4117f1')"" rel=""noopener"" target=""_blank"">
    Acciona</a></span>",Electrical Engineer,"
            Must be experienced in analysing and interpreting data. A CCIONA is a global leader in the development and management of infrastructure, renewable energy, water...",Queensland,
160,"<span class=""company"">
    Jackson Environment and Planning Pty Ltd</span>",Town Planner,"
            Our team is made up of planners, engineers, scientists, procurement, governance and data experts. Jackson Environment and Planning Pty Ltd is a boutique firm...",Sydney NSW,"<span class=""no-wrap"">
                $65,000 - $70,000 a year</span>"
161,"<span class=""company"">
    Naviro Pty Ltd</span>",Software Engineer (Java/Spark/Scala) | Bespoke Analytics Too...,"
            We are a data driven business building bespoke Data Driven products for individual requirements. Develop new Big Data products....",Melbourne VIC,"<span class=""no-wrap"">
                $150,000 - $200,000 a year</span>"
162,"<span class=""company"">
    The Business Agility Group</span>",Test Development Engineer,"
            Compiling, assessing and analysing production test data. You will be working with top engineers of the country on cooperative and driver-less car technology....",Adelaide SA,
163,"<span class=""company"">
    Rivium Pty Ltd</span>",Splunk Architect - Melbourne,"
            Be motivated by the opportunity to analyse technical data. Can perform complex calculations and are comfortable communicating complex data to others....",Melbourne VIC,
164,"<span class=""company"">
    Superloop</span>",Delivery Engineering Manager,"
            Careers Select the role General Submission Customer NOC Manager - Brisbane Customer NOC Manager - Sydney Delivery Engineering Manager - Sydney Delivery...",Australia,
165,"<span class=""company"">
    Firesoft</span>",FPGA Developer,"
                            Experience with network and system level protocols, packet based data processing, and computer architecture. This is a fantastic opportunity for talented FPGA...",Sydney NSW,"<span class=""no-wrap"">
                $100,000 - $150,000 a year</span>"
166,"<span class=""company"">
<a class=""turnstileLink"" data-tn-element=""companyName"" href=""/cmp/Australian-Antarctic-Division"" onmousedown=""this.href = appendParamsOnce(this.href, 'from=SERP&amp;campaignid=serp-linkcompanyname&amp;fromjk=767111fd58e3e641&amp;jcid=634a64937ed89159')"" rel=""noopener"" target=""_blank"">
    Australian Antarctic Division</a></span>",Electronics Engineer,"
                            As the Electronics Engineer you will support the AAD’s scientific program by installing, commissioning, maintaining, calibrating and modifying electronic...",Australia,"<span class=""no-wrap"">
                $85,907 a year</span>"
167,"<span class=""company"">
    ICTechnology</span>",Level 2 Helpdesk/Support Engineer,"
                            We are looking for an enthusiastic engineer to join our team. Ability to deal with high impact, high profile, incidents and deal with senior level technical...",Bankstown NSW,
168,"<span class=""company"">
    Firesoft</span>",FPGA Developer,"
                            Experience with network and system level protocols, packet based data processing, and computer architecture. This is a fantastic opportunity for talented FPGA...",Sydney NSW,"<span class=""no-wrap"">
                $100,000 - $150,000 a year</span>"
169,"<span class=""company"">
<a href=""/cmp/Sunquest"" onmousedown=""this.href = appendParamsOnce(this.href, 'from=SERP&amp;campaignid=serp-linkcompanyname&amp;fromjk=5e763da68e7e4852&amp;jcid=0dd77647b8601bab')"" rel=""noopener"" target=""_blank"">
    Sunquest</a></span>",Field Operations Engineer,"
            Conducts benchmark tests, measures production system performance, analyzes, and makes configuration recommendations based on performance data collected....",Brisbane QLD,
170,"<span class=""company"">
<a href=""/cmp/Amazon.com"" onmousedown=""this.href = appendParamsOnce(this.href, 'from=SERP&amp;campaignid=serp-linkcompanyname&amp;fromjk=59da716674bcfd91&amp;jcid=fe2d21eef233e94a')"" rel=""noopener"" target=""_blank"">
    Amazon.com</a></span>",Software Development Engineer - AWS Redshift,"
            Amazon Redshift is a fast, fully managed, petabyte-scale data warehouse that makes it simple and cost-effective to analyse all your data using your existing...",Sydney NSW,
171,"<span class=""company"">
<a href=""/cmp/Amazon.com"" onmousedown=""this.href = appendParamsOnce(this.href, 'from=SERP&amp;campaignid=serp-linkcompanyname&amp;fromjk=e4b547a993d5b126&amp;jcid=fe2d21eef233e94a')"" rel=""noopener"" target=""_blank"">
    Amazon.com</a></span>",Software Development Engineer - AWS Networking,"
Data structures, algorithms, complexity analysis, object-oriented design, unit testing, and systems architecture....",Sydney NSW,
172,"<span class=""company"">
<a href=""/cmp/Amazon.com"" onmousedown=""this.href = appendParamsOnce(this.href, 'from=SERP&amp;campaignid=serp-linkcompanyname&amp;fromjk=458223e972349122&amp;jcid=fe2d21eef233e94a')"" rel=""noopener"" target=""_blank"">
    Amazon.com</a></span>",Software Development Engineer,"
            AWS Kumo applications encompass a variety of technical areas such as information retrieval, data mining, big data and machine learning....",Sydney NSW,
173,"<span class=""company"">
<a href=""/cmp/Google"" onmousedown=""this.href = appendParamsOnce(this.href, 'from=SERP&amp;campaignid=serp-linkcompanyname&amp;fromjk=b16185b27a47f7e2&amp;jcid=a5b4499d9e91a5c6')"" rel=""noopener"" target=""_blank"">
    Google</a></span>","Application System Administrator, Corporate Engineering","
            We're proud to be our engineers' engineers and love voiding warranties by taking things apart so we can rebuild them....",Sydney NSW,
174,"<span class=""company"">
<a href=""/cmp/Dimension-Data"" onmousedown=""this.href = appendParamsOnce(this.href, 'from=SERP&amp;campaignid=serp-linkcompanyname&amp;fromjk=61a94a6c737a2d52&amp;jcid=75914e4a93ffbeca')"" rel=""noopener"" target=""_blank"">
    Dimension <b>Data</b></a></span>",Senior Systems Engineer,"
            Diversity in Dimension Data. Service Delivery Support Engineers (L3) that are required to strictly comply with all processes and procedures as prescribed by...",Brisbane QLD,
175,"<span class=""company"">
    Brennan IT</span>",Sydney: NOC Engineer,"
            The role of the NOC Engineer is focused on providing exceptional technical customer support to our Brennan Voice & Data Clients....",Sydney NSW,
176,"<span class=""company"">
    EnviroAg Australia Pty Limited</span>",Senior Environmental Scientist - Armidale NSW,"
            Undertake field investigations and assessments including travel, and data collection in remote locations. EnviroAg Australia has a team of civil, environmental...",Armidale NSW,
177,"<span class=""company"">
    Manpower Services (Hong Kong) Limited</span>",Service/Electrical Engineer,"
            Minimum 3 years experience in data center electrical design, construction, practical acceptance. Take in charge of data center electrical system from bidding,...",Australia,
178,"<span class=""company"">
<a class=""turnstileLink"" data-tn-element=""companyName"" href=""/cmp/Robert-Walters"" onmousedown=""this.href = appendParamsOnce(this.href, 'from=SERP&amp;campaignid=serp-linkcompanyname&amp;fromjk=5ed01b4a1972d638&amp;jcid=f01c2f55ec3054bf')"" rel=""noopener"" target=""_blank"">
    Robert Walters</a></span>",Big Data Engineer,"
                            Enterprise Data Warehouse / Data Lake architectures. You are an experienced Big Data Engineer with exceptional communication skills....",Sydney NSW,
179,"<span class=""company"">
<a class=""turnstileLink"" data-tn-element=""companyName"" href=""/cmp/Australian-Antarctic-Division"" onmousedown=""this.href = appendParamsOnce(this.href, 'from=SERP&amp;campaignid=serp-linkcompanyname&amp;fromjk=767111fd58e3e641&amp;jcid=634a64937ed89159')"" rel=""noopener"" target=""_blank"">
    Australian Antarctic Division</a></span>",Electronics Engineer,"
                            As the Electronics Engineer you will support the AAD’s scientific program by installing, commissioning, maintaining, calibrating and modifying electronic...",Australia,"<span class=""no-wrap"">
                $85,907 a year</span>"
180,"<span class=""company"">
    Top End Webbing</span>",Software Engineer,"
            Other responsibilities include working with data consumers to set expectations, gather requirements, and plan implementation schedules and timelines....",Buddina QLD,"<span class=""no-wrap"">
                $80,000 - $100,000 a year</span>"
181,"<span class=""company"">
    The Network IT</span>",Desktop Roll-Out Technicians,"
            Any knowledge with telephony and data services. The Network's established and well respected IT Service Client are seeking a number of engineers who can assist...",Melbourne VIC,
182,"<span class=""company"">
<a href=""/cmp/Aam-Pty-Ltd"" onmousedown=""this.href = appendParamsOnce(this.href, 'from=SERP&amp;campaignid=serp-linkcompanyname&amp;fromjk=b490b848a3c35786&amp;jcid=b655401f40a6cc73')"" rel=""noopener"" target=""_blank"">
    AAM Pty Ltd</a></span>",BIM-Modelling Role,"
            Assist in data capture design. Provide integrated spatial solutions to engineers, architects, designers and planners....",Melbourne VIC,
183,"<span class=""company"">
<a href=""/cmp/David-Jones"" onmousedown=""this.href = appendParamsOnce(this.href, 'from=SERP&amp;campaignid=serp-linkcompanyname&amp;fromjk=6d3ee77b40e8bcac&amp;jcid=a91b597c8badb6be')"" rel=""noopener"" target=""_blank"">
    David Jones</a></span>",IT Infrastructure Architect,"
            Microsoft certified system engineer (MSCE). Deep understanding of Infrastructure architecture domains of process, application and data, evaluating complex...",Melbourne VIC,
184,"<span class=""company"">
<a href=""/cmp/Winning-Group"" onmousedown=""this.href = appendParamsOnce(this.href, 'from=SERP&amp;campaignid=serp-linkcompanyname&amp;fromjk=09292de9bff7a9de&amp;jcid=3b1bb256fd56d093')"" rel=""noopener"" target=""_blank"">
    Winning Group</a></span>",Infrastructure & Automation Engineer,"
            As such, the role will suit a passionate, hands-on Engineer looking to make a difference. Secure the infrastructure so that the data and operations of the...",Sydney NSW,
185,"<span class=""company"">
<a href=""/cmp/Yarra-Trams"" onmousedown=""this.href = appendParamsOnce(this.href, 'from=SERP&amp;campaignid=serp-linkcompanyname&amp;fromjk=81ecf063d55b3f1c&amp;jcid=25259a49247f9a9e')"" rel=""noopener"" target=""_blank"">
    Yarra Trams</a></span>","Engineer, Reliability","
            Chartered Professional Engineer (CPEng) status with Engineers Australia or ability to obtain; Reporting to the Principal Engineer, Reliability, the role...",Melbourne VIC,
186,"<span class=""company"">
<a href=""/cmp/Siemens-Ag"" onmousedown=""this.href = appendParamsOnce(this.href, 'from=SERP&amp;campaignid=serp-linkcompanyname&amp;fromjk=1939efc73b1b9242&amp;jcid=3b89b9ec324f96c8')"" rel=""noopener"" target=""_blank"">
    Siemens AG</a></span>",Systems Engineer,"
Data network design and configuration experience. Systems Engineers plan and perform a wide range of application engineering tasks delivering train control, cab...",Melbourne VIC,
187,"<span class=""company"">
    PhoenxPLM</span>",PLM Systems Engineer,"
            PLM Systems Engineer. This role has responsibility to implement Product Data Management (PDM) and Product Lifecycle....",Melbourne VIC,
188,"<span class=""company"">
<a href=""/cmp/Freelancer.com"" onmousedown=""this.href = appendParamsOnce(this.href, 'from=SERP&amp;campaignid=serp-linkcompanyname&amp;fromjk=b1d5d15b7672953c&amp;jcid=734e88fca63788fc')"" rel=""noopener"" target=""_blank"">
    Freelancer.com</a></span>",Systems / DevOps Engineer,"
            From design, writing, data entry and software development; As a leader of the Freelancer infrastructure team, you'll be working side-by-side with software...",Sydney NSW,"<span class=""no-wrap"">
                $90,000 - $150,000 a year</span>"
189,"<span class=""company"">
<a class=""turnstileLink"" data-tn-element=""companyName"" href=""/cmp/Australian-Antarctic-Division"" onmousedown=""this.href = appendParamsOnce(this.href, 'from=SERP&amp;campaignid=serp-linkcompanyname&amp;fromjk=767111fd58e3e641&amp;jcid=634a64937ed89159')"" rel=""noopener"" target=""_blank"">
    Australian Antarctic Division</a></span>",Electronics Engineer,"
                            As the Electronics Engineer you will support the AAD’s scientific program by installing, commissioning, maintaining, calibrating and modifying electronic...",Australia,"<span class=""no-wrap"">
                $85,907 a year</span>"
190,"<span class=""company"">
<a class=""turnstileLink"" data-tn-element=""companyName"" href=""/cmp/Robert-Walters"" onmousedown=""this.href = appendParamsOnce(this.href, 'from=SERP&amp;campaignid=serp-linkcompanyname&amp;fromjk=5ed01b4a1972d638&amp;jcid=f01c2f55ec3054bf')"" rel=""noopener"" target=""_blank"">
    Robert Walters</a></span>",Big Data Engineer,"
                            Enterprise Data Warehouse / Data Lake architectures. You are an experienced Big Data Engineer with exceptional communication skills....",Sydney NSW,
191,"<span class=""company"">
<a class=""turnstileLink"" data-tn-element=""companyName"" href=""/cmp/Australian-Antarctic-Division"" onmousedown=""this.href = appendParamsOnce(this.href, 'from=SERP&amp;campaignid=serp-linkcompanyname&amp;fromjk=767111fd58e3e641&amp;jcid=634a64937ed89159')"" rel=""noopener"" target=""_blank"">
    Australian Antarctic Division</a></span>",Electronics Engineer,"
                            As the Electronics Engineer you will support the AAD’s scientific program by installing, commissioning, maintaining, calibrating and modifying electronic...",Australia,"<span class=""no-wrap"">
                $85,907 a year</span>"
192,"<span class=""company"">
    GoCatch</span>",Graduate Data & Software Engineer,"
                            We are looking for a qualified and motivated junior data & software engineer to join our team. Data analytics and engineering skills....",Sydney NSW,
193,"<span class=""company"">
<a href=""/cmp/Civmec"" onmousedown=""this.href = appendParamsOnce(this.href, 'from=SERP&amp;campaignid=serp-linkcompanyname&amp;fromjk=a5ed567889cbb1af&amp;jcid=e156a3ff44725988')"" rel=""noopener"" target=""_blank"">
    Civmec Construction &amp; Engineering</a></span>",Precast QA Engineer,"
            Previous knowledge working at construction sites as an engineer What we can offer YOU:. The applicant must be notified that their personal data is being entered...",Henderson WA,
194,"<span class=""company"">
    AustCorp Executive</span>",Facilities Engineer,"
            Facilities Engineer - Data Centres. Data centre experience advantageous. Austcorp are seeking a first class Electrical Facilities Engineer who possesses a...",Sydney NSW,"<span class=""no-wrap"">
                $90,000 a year</span>"
195,"<span class=""company"">
    Onset Group Pty Ltd</span>",Algorithm Engineer,"
            Sydney-based artificial intelligence startup is looking for an Algorithm Engineer to deliver data driven solutions to commercial challenges....",Sydney NSW,"<span class=""no-wrap"">
                $80,000 - $120,000 a year</span>"
196,"<span class=""company"">
    Sustainability Consulting</span>",Backend JVM Engineer | Kotlin & Functional Programming,"
            You will be supported by front end, full stack and DevOps engineers. Know databases & Data Structures intimately - SQL is a must, PostgreSQL is a plus!...",Sydney NSW,"<span class=""no-wrap"">
                $110,000 - $130,000 a year</span>"
197,"<span class=""company"">
    Opus Recruitment Solutions</span>",Elixir Engineer,"
            Our team of engineers are curious, driven, friendly, and collaborative. Ability to build secure and reliable systems and maintain confidentiality of sensitive...",Sydney NSW,"<span class=""no-wrap"">
                $100,000 - $130,000 a year</span>"
198,"<span class=""company"">
    Sustainability Consulting</span>",Backend JVM Engineer | Kotlin,"
            You will be supported by front end, full stack and DevOps engineers. We're looking for two full stack back-end engineers to help architect and build our backend...",Sydney NSW,"<span class=""no-wrap"">
                $110,000 - $130,000 a year</span>"
199,"<span class=""company"">
    Superloop</span>",Senior Accountant,"
            Strong financial acumen for data, numbers, finance and reporting. Careers Select the role General Submission Customer NOC Manager - Brisbane Customer NOC...",Australia,
200,"<span class=""company"">
    Deswik</span>",Senior Software Engineer / Developer (MDM),"
            Experience with data and application security practices. Challenging enterprise systems development work on our ground-breaking Mining Data Management system....",Brisbane QLD,
201,"<span class=""company"">
<a href=""/cmp/Dell"" onmousedown=""this.href = appendParamsOnce(this.href, 'from=SERP&amp;campaignid=serp-linkcompanyname&amp;fromjk=ec321acf4114be03&amp;jcid=0918a251e6902f97')"" rel=""noopener"" target=""_blank"">
    DELL</a></span>",Senior Systems Engineer - Canberra,"
            Knowledge of storage and data protection products and solutions. The Senior Systems Engineer is responsible for the translation of business and technical needs...",Canberra ACT,
202,"<span class=""company"">
    GoCatch</span>",iOS Developer - Dream Job,"
                            You will join experienced engineers and be involved in the development of solutions that have an impact on people immediately on release....",Sydney NSW,
203,"<span class=""company"">
<a class=""turnstileLink"" data-tn-element=""companyName"" href=""/cmp/Robert-Walters"" onmousedown=""this.href = appendParamsOnce(this.href, 'from=SERP&amp;campaignid=serp-linkcompanyname&amp;fromjk=5ed01b4a1972d638&amp;jcid=f01c2f55ec3054bf')"" rel=""noopener"" target=""_blank"">
    Robert Walters</a></span>",Big Data Engineer,"
                            Enterprise Data Warehouse / Data Lake architectures. You are an experienced Big Data Engineer with exceptional communication skills....",Sydney NSW,
204,"<span class=""company"">
<a href=""/cmp/Robert-Walters"" onmousedown=""this.href = appendParamsOnce(this.href, 'from=SERP&amp;campaignid=serp-linkcompanyname&amp;fromjk=a001d18896dbf65c&amp;jcid=f01c2f55ec3054bf')"" rel=""noopener"" target=""_blank"">
    Robert Walters</a></span>",Senior Network Engineer - Voice & Data,"
            Ensure 99.99% availability of Voice and Data Systems within region including APAC Data Centre hosted by a 3rd party....",North Shore NSW,
