,Company,Title,Description,Location,Salary
153,"

    Urbis",Property Economics & Research - Senior Data Scientist,"
            Senior Consultant - Data Scientist. Data visualisation aptitude. As the Senior Consultant - Data Scientist, you will need the following skills and qualities:....",Melbourne VIC,
154,"

    Hays",Software Engineer - DevOps,"
            Your new role will join developers from data science, data engineering, backend, web and UX backgrounds to build an automated data scientist....",Sydney Central Business District NSW,
155,"

    Hudson",Data Scientist,"
            One of our key Government clients are looking to engage services of an experienced Data Scientist on a 12 month contract....",Canberra ACT,
156,"

    Rio Tinto",Data Scientist,"
                            Develop custom analytics workflows by integrating relevant data sources and developing analytic/derived data sets through feature selection to address specific...",Brisbane QLD,
157,"

    Rio Tinto",Principal Data Scientist,"
                            This will involve gaining substantial experience of working with our data systems to develop state-of-the-art data science solutions for our business’s data...",Perth WA,
158,"

    Teradata",TB Prin. Data Scientist (I),"
            The Data Scientist captures, sorts, and determines what is relevant in the data. The Data Scientist gathers intelligence from the massive streams of data that...",Sydney NSW,
159,"
    Sustainability Consulting",Backend JVM Engineer | Kotlin,"
            Our product uses AI, we have a Data Scientist in the team, and there's lots of opportunity to get involved with AI and deep learning....",Sydney NSW,"<span class=""no-wrap"">
                $110,000 - $130,000 a year</span>"
160,"
    SustainAbility Consulting",Backend JVM Engineer,"
            Our product uses AI, we have a Data Scientist in the team, and there's lots of opportunity to get involved with AI and deep learning....",Sydney NSW,
161,"
    TheDriveGroup",IT / Tech Recruitment Consultant | Trainee & Senior Roles Av...,"
            Front End Developer, Java Developer, .Net Developer, JavaScript Developer, NodeJS Developer, MEAN Stack Developer, MERN Stack Developer, Full Stack JavaScript...",Sydney NSW,"<span class=""no-wrap"">
                $100,000 - $300,000 a year</span>"
162,"
    Infinity Pro","Risk Data Insight Analyst / Data Scientist - Assurance, Audi...","
            Demonstrated commercial experience in mathematical / statistical data manipulation and building of raw data models;...",Parramatta NSW,
163,"

    ignite",Data Scientist,"
                            Working closely with the Head of Data Analytics Manager and build the capability within their Data Analytics offering....",Sydney NSW,"<span class=""no-wrap"">
                $100,000 - $150,000 a year</span>"
164,"

    ignite",Data Scientist,"
                            Working closely with the Head of Data Analytics Manager and build the capability within their Data Analytics offering....",Sydney NSW,"<span class=""no-wrap"">
                $100,000 - $150,000 a year</span>"
165,"

    Urbis",Property Economics & Research - Senior Data Scientist,"
            Senior Consultant - Data Scientist. Data visualisation aptitude. As the Senior Consultant - Data Scientist, you will need the following skills and qualities:....",Melbourne VIC,
166,"

    Hays",Software Engineer - DevOps,"
            Your new role will join developers from data science, data engineering, backend, web and UX backgrounds to build an automated data scientist....",Sydney Central Business District NSW,
167,"

    Hudson",Data Scientist,"
            One of our key Government clients are looking to engage services of an experienced Data Scientist on a 12 month contract....",Canberra ACT,
168,"

    Randstad",data analyst,"
            Experience building data architectures and their relevant strategies, as well as generating data models from attribution to retention....",Cremorne VIC,"<span class=""no-wrap"">
                $70,000 - $80,000 a year</span>"
169,"

    Teradata",TB Prin. Data Scientist (I),"
            The Data Scientist captures, sorts, and determines what is relevant in the data. The Data Scientist gathers intelligence from the massive streams of data that...",Sydney NSW,
170,"
    Sustainability Consulting",Backend JVM Engineer | Kotlin,"
            Our product uses AI, we have a Data Scientist in the team, and there's lots of opportunity to get involved with AI and deep learning....",Sydney NSW,"<span class=""no-wrap"">
                $110,000 - $130,000 a year</span>"
171,"
    SustainAbility Consulting",Backend JVM Engineer,"
            Our product uses AI, we have a Data Scientist in the team, and there's lots of opportunity to get involved with AI and deep learning....",Sydney NSW,
172,"
    TheDriveGroup",IT / Tech Recruitment Consultant | Trainee & Senior Roles Av...,"
            Front End Developer, Java Developer, .Net Developer, JavaScript Developer, NodeJS Developer, MEAN Stack Developer, MERN Stack Developer, Full Stack JavaScript...",Sydney NSW,"<span class=""no-wrap"">
                $100,000 - $300,000 a year</span>"
173,"
    Infinity Pro","Risk Data Insight Analyst / Data Scientist - Assurance, Audi...","
            Demonstrated commercial experience in mathematical / statistical data manipulation and building of raw data models;...",Parramatta NSW,
